Company name,Symbol
ALFA LAVAL AB NPV,0HQR
COLRUYT SA NPV,0HQU
STALLERGENES EUR0.95,0HQW
SECURITAS AB SER`B`NPV,0HQY
DUNI AB SEK10,0HR3
SSAB(SVENSKT STAL)AB SER`A`NPV,0HRJ
STALLERGENES EUR0.95,0HRR
GLASTON OYJ NPV,0HRV
L`OREAL EUR0.20,0HRZ
FIAT SPA DI RISP EUR5(NON CNV),0HT4
NORWEGIAN ENERGY CO SA NOK3.10,0HTF
VOLVO(AB) SER`B`NPV,0HTP
INTEX RESOURCES ASA NOK0.5,0HTS
COFINIMMO ORD NPV,0HTZ
HERMES INTERNATIONAL NPV,0HV2
FONCIER FINANCIERE ET DE PARTICIP EUR2,0HV8
HAULOTTE GROUP EUR0.13,0HVA
INGENICO EUR1,0HVB
TESFRAN EUR20,0HVF
ROYAL CARIBBEAN CRUISES COM STK USD0.01,0HVP
KONGSBERG AUTOMOTIVE ASA NOK0.50,0HW0
SECURITAS AB SER`B`NPV,0HW4
DORO AB NPV,0HW6
NYSE EURONEXT INC COM STK USD0.01,0HWG
UNIPETROL CZK100,0HWL
WEST SIBERIAN RESOURCES SDR EACH REPR I USD0.25,0HX8
TENARIS S.A. USD1,0HXB
CEMENTIR SPA EUR1,0HY2
SIMULATION ANALYSIS & FORECASTING CHF0.04 (BR),0HYI
SEADRILL LTD USD2,0HYK
AGROS DEVELOPMENT PROODOS EUR1.71,0HYP
PANAYIDES CONTRACTING EUR0.34,0HYR
EURAZEO ORD NPV,0HZC
WENDEL INVESTISSEMENT EUR4,0HZD
BOUSORAMA EUR0.40,0HZR
VIEL & CIE EUR0.20,0HZW
ABC ARBITRAGE EUR0.016,0I0B
PISCINES DES JOYAUX EUR3.09,0I0H
FAUVET-GIREL(ETABL.) EUR8,0I0N
ORAL HAMMASLAAKARIT NPV,0I0T
SANOMA WSOY OYJ NPV,0I14
UNION FINANCIERE DE FRANCE NPV,0I15
ROYAL CARIBBEAN CRUISES COM STK USD0.01,0I1W
ATLANTIA SPA EUR1,0I2R
I.T.B. NPV,0I2T
VIENNA INSURANCE GROUP NPV,0I3F
ATLANTIC AIRWAYS P/F DKK100,0I3I
BARCO(NEW) NPV,0I3Q
CATERING INTL SERVICES CIS EUR0.80,0I3T
DEUTSCHE EUROSHOP AG NPV,0I3Z
DRAGERWERK AG NON VTG PREF NPV,0I47
STOREBRAND ASA `A`NOK5,0I4P
ST MICROELECTRONICS EUR1.04,0I4Q
ELMA HOLDING EUR0.09,0I50
BERGMAN & BEVING AB SER B NPV,0I5O
GLASTON OYJ NPV,0I5P
PUNCH GRAPHIX NV EUR4,0I5Q
REALTY VAILOG S.P.A. NPV,0I5U
DELHAIZE FRERES ET CIE(LE LION)SA NPV,0I6Q
CEE IMOTI REIT BGN1,0I77
ELISA OYJ NPV,0I8Y
SSAB(SVENSKT STAL)AB SER`A`NPV,0I9L
KINNEVIK INVESTMENTS AB SER`B`NPV,0IA2
