Company name,Symbol
AUS ASIA MINERALS LIMITED,AQJ
AUS TIN MINING LTD,ANW
AUSCANN GROUP HOLDINGS LTD,AC8
AUSDRILL LIMITED,ASL
AUSGOLD LIMITED,AUC
AUSMEX MINING GROUP LIMITED,AMG
AUSMON RESOURCES LIMITED,AOA
AUSNET SERVICES HOLDINGS PTY LTD,ANV
AUSNET SERVICES LIMITED,AST
AUSQUEST LIMITED,AQD
AUSTAL LIMITED,ASB
AUSTAR GOLD LIMITED,AUL
AUSTCHINA HOLDINGS LIMITED,AUH
AUSTEX OIL LIMITED,AOK
AUSTIN ENGINEERING LIMITED,ANG
AUSTPAC RESOURCES NL,APG
AUSTRAL GOLD LIMITED,AGD
AUSTRALASIAN RESOURCES LIMITED,ARH
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ
AUSTRALIA UNITED MINING LIMITED,AYM
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP
AUSTRALIAN BAUXITE LIMITED.,ABX
AUSTRALIAN CAREERS NETWORK LIMITED,ACO
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL
AUSTRALIAN DAIRY FARMS GROUP,AHF
AUSTRALIAN ENHANCED INCOME FUND,AYF
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF
AUSTRALIAN FINANCE GROUP LTD,AFG
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF
AUSTRALIAN LEADERS FUND LIMITED,ALF
AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED,AYJ
AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED,AYK
AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED,AYZ
AUSTRALIAN MINES LIMITED,AUZ
AUSTRALIAN PACIFIC COAL LIMITED,AQC
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API
AUSTRALIAN POTASH LIMITED,APC
AUSTRALIAN RURAL CAPITAL LIMITED,ARC
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI
AUSTRALIAN UNITY LIMITED,AYU
