"J.MARTINS,SGPS",JMT
JACQUES BOGART,JBOG
JACQUET METAL SCE,JCQ
JANE FRANCE,MLJAN
JC DECAUX SA NV18,DECNV
JC DECAUX SA.,DEC
JENSEN-GROUP,JEN
JSA TECHNOLOGY,MLJSA
KARDAN,KARD
KAS BANK,KA
KAUFMAN ET BROAD,KOF
KBC,KBC
KBC ANCORA,KBCA
KENDRION,KENDR
KERING,KER
KERLINK,ALKLK
KEYRUS,KEY
KEYWARE TECH.,KEYW
KEYYO,ALKEY
KIADIS,KDS
KINEPOLIS GROUP,KIN
KKO INT WARRANT A,KKOWA
KKO INTERNATIONAL,ALKKO
KLEPIERRE,LI
KORIAN,KORI
KPN KON,KPN
KRIEF GROUP,MLKRI
L'OREAL,OR
L'OREAL NV18,ORNV
LA FONCIERE VERTE,LFVE
LACROIX SA,LACR
LAFARGEHOLCIM LTD,LHN
LAFUMA,LAF
LAGARDERE S.C.A.,MMB
LANSON-BCC,LAN
LAURENT-PERRIER,LPE
LAVIDE HOLDING,LVIDE
LDC,LOUP
LE TANNEUR,LTAN
LEADMEDIA GROUP,ALLMG
LEASINVEST,LEAS
LEBON,LBON
LECTEURS MONDE,MLLEM
LECTRA,LSS
LECTRA NV18,LSSNV
LEGRAND,LR
LES HOTELS BAVEREZ,ALLHB
LESNXCONSTRUCTEURS,LNC
LETS GOWEX,ALGOW
LEXIBOOK LINGUIST.,ALLEX
LILLY AND CO,LLY
LINEDATA SERVICES,LIN
LIONAX,MLION
LISGRAFICA,LIG
LISI,FII
LITHO FORMAS,LIT
LNA SANTE,LNA
LOCASYSTEM INTL,MLLOI
LOCINDUS,LD
LOGIC INSTRUMENT,ALLOG
LOMBARD ET MEDOT,MLCAC
LOTUS BAKERIES,LOTB
LUCASBOLS,BOLS
LUCIBEL,ALUCI
LUIGI BOTTO,MLLB
LUX-AIRPORT CERT,LUXA
LUZ SAUDE,LUZ
LV4S,MLV4S
LVMH,MC
LVMH NV18,MCNV
LYSOGENE,LYS
M.R.M,MRM
M2I,ALMII
MADE,MLMAD
MADVERTISE,ALMNG
MAGILLEM,MLMGL
MAINSTAY MEDICAL,MSTY
MAIS.ANTOINE BAUD,MLMAB
MAISON CLIO BLUE,MLCLI
MAISONS D''AUJOURD,MLMAI
MAISONS DU MONDE,MDM
MAISONS FRANCE,MFC
MAKHEIA GROUP,ALMAK
MALTERIES FCO-BEL.,MALT
MANDALORE HOLDING,MLMHO
MANITOU BF,MTU
MANUTAN INTL,MAN
MARATHON OIL CORP,MROIL
MAROC TELECOM,IAM
MARTIFER,MAR
MASTRAD,ALMAS
MAUNA KEA TECH,MKEA
MAUREL ET PROM,MAU
MBWS,MBWS
MBWS BSA 2004,MBWBS
MBWS BSA 2006,MBWBR
MBWS BSA ACT2,MBWBW
MBWS BSAR 2023,MBWSZ
MCPHY ENERGY,MCPHY
MDXHEALTH,MDXH
MECELEC BSA DEC19,MCBS2
MECELEC COMPOSITES,ALMEC
MEDASYS,MED
MEDIA 6,EDI
MEDIA CAPITAL,MCP
MEDIA LAB,MLLAB
MEDIANTECHNOLOGIES,ALMDT
MEDIAWAN,MDW
MEDIAWAN WAR,MDWBS
MEDICREA INTERNAT.,ALMED
MEDIOCREDITO EUROP,MLMCE
MEDIVISION,MEDV
MELEXIS,MELE
MEMSCAP REGPT,MEMS
MERCIALYS,MERY
MERCK AND CO INC,MRK
MERSEN,MRN
MERSEN NV18,MRNNV
METABOLIC EXPLORER,METEX
METALLIANCE,MLETA
METHANOR,ALMET
METHORIOS CAPITAL,ALMTH
METRICS IN BALANCE,MLMIB
METROPOLE TV,MMT
MG INTERNATIONAL,ALMGI
MGI COUTIER,MGIC
MGI DIGITAL GRAPHI,ALMDG
MICHELIN,ML
MICHELIN NV18,MLNV
MICROBSAR15DEC18,MUNBR
MICROPOLE,MUN
MICROSKIN,MLSKN
MICROSOFT CORP SPL,MSF
MICROWAVE VISION,ALMIC
MIGUET ET ASSOCIES,MLNMA
MIKO,MIKO
MILIBOO,ALMLB
MILLET INNOVATION,ALINN
MITHRA,MITRA
MKB Nedsense,NEDSE
MND,MND
MNR GROUP,MLMNR
MONCEY (FIN.) NOM.,MONC
MONEY EXPRESS,MLMEX
MONFINANCIER,MLMON
MONTEA C.V.A.,MONT
